image_id,stage,status,selected_candidate,confidence,relation_match,region,reason
vid_res_001_man_in_lobby_by_door_frame_01,initial,selected,1.0,0.86,True,,The person in C1 is standing right next to the door.
vid_res_001_man_in_lobby_by_door_frame_01,refined,selected,1.0,0.86,True,,"The visible person is standing next to the door, matching 'man by door'."
vid_res_001_man_in_lobby_by_door_frame_02,initial,selected,1.0,0.86,True,,"The only detected person is standing next to the door, matching the location hint."
vid_res_001_man_in_lobby_by_door_frame_02,refined,selected,1.0,0.84,True,,"Single detected person is standing next to the door, matching 'man by door'."
vid_res_001_man_in_lobby_by_door_frame_03,initial,selected,1.0,0.78,True,,Single person candidate is standing next to the door.
vid_res_001_man_in_lobby_by_door_frame_03,refined,selected,1.0,0.86,True,,The single detected person is standing next to the door.
vid_res_002_girl_sitting_in_lounge_frame_01,initial,selected,1.0,0.86,True,,"The single detected person is seated at a lounge table, matching the request."
vid_res_002_girl_sitting_in_lounge_frame_01,refined,selected,2.0,0.72,False,,C2 explicitly matches 'girl sitting in lounge' and covers the seated person more completely than C1.
vid_res_002_girl_sitting_in_lounge_frame_02,initial,selected,1.0,0.82,True,,"The only detected person is seated by the lounge tables, matching the request."
vid_res_002_girl_sitting_in_lounge_frame_02,refined,selected,1.0,0.82,True,,"The candidate is a person seated at a table in the lounge area, matching 'girl sitting in lounge'."
vid_res_002_girl_sitting_in_lounge_frame_03,initial,selected,2.0,0.72,False,,C2 explicitly matches 'girl sitting in lounge' and best fits the seated person in the lounge area.
vid_res_002_girl_sitting_in_lounge_frame_03,refined,selected,1.0,0.8,True,,"The candidate shows a person (girl) seated in a lounge area, matching the command."
vid_res_004_table_with_flower_on_top_frame_01,initial,failed,,0.18,False,,The only detected table (C1) has no flower on top; the table with a flower is in the back and not among candidates.
vid_res_004_table_with_flower_on_top_frame_02,initial,refine,,0.74,False,"[760, 360, 1180, 720]",C1 is a table without a flower. The table with a flower on top is farther back near the window; refine search to this region.
vid_res_004_table_with_flower_on_top_frame_02,refined,selected,1.0,0.78,True,,"C1 is the table that has a flower on top, matching the command."
vid_res_004_table_with_flower_on_top_frame_03,initial,refine,,0.64,False,"[780, 360, 1100, 700]",The only candidate is a foreground table without a flower on top; the desired table with a flower is farther back near the window.
vid_res_004_table_with_flower_on_top_frame_03,refined,selected,1.0,0.76,True,,C1 is the table with a flower placed on top; C2 is labeled as a desk and is less specific.
vid_res_005_under_the_painting_frame_01,initial,refine,,0.72,False,"[1120, 520, 1520, 960]","Both candidates cover the left concrete wall; the command refers to the white wall under the framed paintings on the right, so propose a region there."
vid_res_005_under_the_painting_frame_01,refined,selected,1.0,0.74,True,,"C1 encloses the white wall section directly beneath the framed painting, matching the relation."
vid_res_005_under_the_painting_frame_02,initial,refine,,0.61,False,"[900, 560, 1160, 880]",Only candidate is a wall without a painting above it; proposing the white wall area directly below the framed painting at the center.
vid_res_005_under_the_painting_frame_02,refined,selected,1.0,0.66,True,,"The box highlights the white wall area directly beneath the framed painting, matching the spatial relation."
vid_res_005_under_the_painting_frame_03,initial,refine,,0.6,False,"[920, 660, 1280, 1000]",The only wall candidate is on the left and not under a painting; proposing the wall area below the centered painting on the white wall.
