image_id,frame_key,annotation_id,image_path,annotated_image_path,raw_filename,annotated_filename,raw_match_method,gt_x_min,gt_y_min,gt_x_max,gt_y_max,raw_width,raw_height,annotated_width,annotated_height,source_x_min,source_y_min,source_x_max,source_y_max,scale_x_to_raw,scale_y_to_raw,green_pixel_count,box_area_ratio,selected_tolerance,coordinate_source,aspect_ratio_relative_difference,warning
vid_res_001_man_in_lobby_by_door_frame_01,vid_res_001_frame_01,vid_res_001_man_by_door_frame_01,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_01.jpg,examples/ground_truth_annotated/vid_res_001_man_by_door_frame_01.jpg,vid_res_001_man_in_lobby_by_door_frame_01.jpg,vid_res_001_man_by_door_frame_01.jpg,frame_key_match,966,267,1185,852,1920,1088,1920,1088,966,267,1185,852,1.0,1.0,7955,0.06133,35,annotation_auto_extract,0.0,
vid_res_001_man_in_lobby_by_door_frame_02,vid_res_001_frame_02,vid_res_001_man_by_door_frame_02,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_02.jpg,examples/ground_truth_annotated/vid_res_001_man_by_door_frame_02.jpg,vid_res_001_man_in_lobby_by_door_frame_02.jpg,vid_res_001_man_by_door_frame_02.jpg,frame_key_match,966,259,1173,843,1920,1088,1920,1088,966,259,1173,843,1.0,1.0,7822,0.05787,35,annotation_auto_extract,0.0,
vid_res_001_man_in_lobby_by_door_frame_03,vid_res_001_frame_03,vid_res_001_man_by_door_frame_03,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_03.jpg,examples/ground_truth_annotated/vid_res_001_man_by_door_frame_03.jpg,vid_res_001_man_in_lobby_by_door_frame_03.jpg,vid_res_001_man_by_door_frame_03.jpg,frame_key_match,1056,196,1261,764,1920,1088,1920,1088,1056,196,1261,764,1.0,1.0,7658,0.055741,35,annotation_auto_extract,0.0,
vid_res_002_girl_sitting_in_lounge_frame_01,vid_res_002_frame_01,vid_res_002_girl_sitting_in_lounge_frame_01,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_01.jpg,examples/ground_truth_annotated/vid_res_002_girl_sitting_in_lounge_frame_01.jpg,vid_res_002_girl_sitting_in_lounge_frame_01.jpg,vid_res_002_girl_sitting_in_lounge_frame_01.jpg,exact_image_id,1152,273,1328,602,1920,1088,1920,1088,1152,273,1328,602,1.0,1.0,4930,0.027719,35,annotation_auto_extract,0.0,
vid_res_002_girl_sitting_in_lounge_frame_02,vid_res_002_frame_02,vid_res_002_girl_sitting_in_lounge_frame_02,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_02.jpg,examples/ground_truth_annotated/vid_res_002_girl_sitting_in_lounge_frame_02.jpg,vid_res_002_girl_sitting_in_lounge_frame_02.jpg,vid_res_002_girl_sitting_in_lounge_frame_02.jpg,exact_image_id,1175,268,1369,600,1920,1088,1920,1088,1175,268,1369,600,1.0,1.0,5151,0.030833,35,annotation_auto_extract,0.0,
vid_res_002_girl_sitting_in_lounge_frame_03,vid_res_002_frame_03,vid_res_002_girl_sitting_in_lounge_frame_03,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_03.jpg,examples/ground_truth_annotated/vid_res_002_girl_sitting_in_lounge_frame_03.jpg,vid_res_002_girl_sitting_in_lounge_frame_03.jpg,vid_res_002_girl_sitting_in_lounge_frame_03.jpg,exact_image_id,1202,268,1377,595,1920,1088,1920,1088,1202,268,1377,595,1.0,1.0,4898,0.027394,35,annotation_auto_extract,0.0,
vid_res_004_table_with_flower_on_top_frame_01,vid_res_004_frame_01,vid_res_004_table_with_flower_on_top_frame_01,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_01.jpg,examples/ground_truth_annotated/vid_res_004_table_with_flower_on_top_frame_01.jpg,vid_res_004_table_with_flower_on_top_frame_01.jpg,vid_res_004_table_with_flower_on_top_frame_01.jpg,exact_image_id,896,347,1029,558,1920,1080,1920,1080,896,347,1029,558,1.0,1.0,3383,0.013533,35,annotation_auto_extract,0.0,
vid_res_004_table_with_flower_on_top_frame_02,vid_res_004_frame_02,vid_res_004_table_with_flower_on_top_frame_02,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_02.jpg,examples/ground_truth_annotated/vid_res_004_table_with_flower_on_top_frame_02.jpg,vid_res_004_table_with_flower_on_top_frame_02.jpg,vid_res_004_table_with_flower_on_top_frame_02.jpg,exact_image_id,890,350,1031,555,1920,1080,1920,1080,890,350,1031,555,1.0,1.0,3416,0.01394,35,annotation_auto_extract,0.0,
vid_res_004_table_with_flower_on_top_frame_03,vid_res_004_frame_03,vid_res_004_table_with_flower_on_top_frame_03,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_03.jpg,examples/ground_truth_annotated/vid_res_004_table_with_flower_on_top_frame_03.jpg,vid_res_004_table_with_flower_on_top_frame_03.jpg,vid_res_004_table_with_flower_on_top_frame_03.jpg,exact_image_id,900,346,1024,549,1920,1080,1920,1080,900,346,1024,549,1.0,1.0,3186,0.012139,35,annotation_auto_extract,0.0,
vid_res_005_under_the_painting_frame_01,vid_res_005_frame_01,vid_res_005_white_wall_under_painting_frame_01,examples/residence_images/vid_res_005_under_the_painting_frame_01.jpg,examples/ground_truth_annotated/vid_res_005_white_wall_under_painting_frame_01.jpg,vid_res_005_under_the_painting_frame_01.jpg,vid_res_005_white_wall_under_painting_frame_01.jpg,frame_key_match,1218,282,1405,479,1920,1080,1920,1080,1218,282,1405,479,1.0,1.0,3745,0.017766,35,annotation_auto_extract,0.0,
