image_id,scenario_id,prompt,categories,spatial_relation,attribute_selection,multiple_reference_objects,multi_instance_or_ordinal,negation,occlusion,complex_instruction,spatial_operator_count
vid_res_001_man_in_lobby_by_door_frame_01,vid_res_001,man by door,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_001_man_in_lobby_by_door_frame_02,vid_res_001,man by door,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_001_man_in_lobby_by_door_frame_03,vid_res_001,man by door,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_002_girl_sitting_in_lounge_frame_01,vid_res_002,girl sitting in lounge,All prompts | Attribute selection,False,True,False,False,False,False,False,0
vid_res_002_girl_sitting_in_lounge_frame_02,vid_res_002,girl sitting in lounge,All prompts | Attribute selection,False,True,False,False,False,False,False,0
vid_res_002_girl_sitting_in_lounge_frame_03,vid_res_002,girl sitting in lounge,All prompts | Attribute selection,False,True,False,False,False,False,False,0
vid_res_004_table_with_flower_on_top_frame_01,vid_res_004,table flower on top,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_004_table_with_flower_on_top_frame_02,vid_res_004,table flower on top,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_004_table_with_flower_on_top_frame_03,vid_res_004,table flower on top,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_005_under_the_painting_frame_01,vid_res_005,white wall under painting,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_005_under_the_painting_frame_02,vid_res_005,white wall under painting,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_005_under_the_painting_frame_03,vid_res_005,wall under painting,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_006_man_by_the_elevator_green_shirt_frame_01,vid_res_006,man by the elevator green shirt,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_006_man_by_the_elevator_green_shirt_frame_02,vid_res_006,man by the elevator green shirt,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_006_man_by_the_elevator_green_shirt_frame_03,vid_res_006,man by the elevator green shirt,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_007_man_standing_by_table_frame_01,vid_res_007,man standing by table,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_007_man_standing_by_table_frame_02,vid_res_007,man standing by table,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_007_man_standing_by_table_frame_03,vid_res_007,man standing by table,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_008_man_standing_by_water_dispenser_frame_01,vid_res_008,man standing by water dispenser,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_008_man_standing_by_water_dispenser_frame_02,vid_res_008,man standing by water dispenser,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_008_man_standing_by_water_dispenser_frame_03,vid_res_008,man standing by water dispenser,All prompts | Spatial relation | Attribute selection | Complex instruction,True,True,False,False,False,False,True,1
vid_res_009_door_on_the_right_frame_01,vid_res_009,door on the right,All prompts | Spatial relation | Complex instruction,True,False,False,False,False,False,True,2
vid_res_009_door_on_the_right_frame_02,vid_res_009,door on the right,All prompts | Spatial relation | Complex instruction,True,False,False,False,False,False,True,2
vid_res_009_door_on_the_right_frame_03,vid_res_009,door on the right,All prompts | Spatial relation | Complex instruction,True,False,False,False,False,False,True,2
vid_res_010_door_at_end_of_hallway_frame_01,vid_res_010,door at end of hallway,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_010_door_at_end_of_hallway_frame_02,vid_res_010,door at end of hallway,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_010_door_at_end_of_hallway_frame_03,vid_res_010,door at end of hallway,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_011_door_with_sign_frame_01,vid_res_011,door sign,All prompts | Direct target,False,False,False,False,False,False,False,0
vid_res_011_door_with_sign_frame_02,vid_res_011,door sign,All prompts | Direct target,False,False,False,False,False,False,False,0
vid_res_011_door_with_sign_frame_03,vid_res_011,door sign,All prompts | Direct target,False,False,False,False,False,False,False,0
vid_res_012_elevator_call_button_frame_01,vid_res_012,elevator call button,All prompts | Direct target,False,False,False,False,False,False,False,0
vid_res_012_elevator_call_button_frame_02,vid_res_012,elevator call button,All prompts | Direct target,False,False,False,False,False,False,False,0
vid_res_012_elevator_call_button_frame_03,vid_res_012,elevator call button,All prompts | Direct target,False,False,False,False,False,False,False,0
vid_res_013_plant_on_table_frame_01,vid_res_013,plant on table,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_013_plant_on_table_frame_02,vid_res_013,plant on table,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_013_plant_on_table_frame_03,vid_res_013,plant on table,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_014_package_by_the_chair_frame_01,vid_res_014,package beside the chair,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_014_package_by_the_chair_frame_02,vid_res_014,package beside the chair,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_014_package_by_the_chair_frame_03,vid_res_014,package beside the chair,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_015_package_on_the_chair_frame_01,vid_res_015,package on the chair,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_015_package_on_the_chair_frame_02,vid_res_015,package on the chair,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_015_package_on_the_chair_frame_03,vid_res_015,package on the chair,All prompts | Spatial relation,True,False,False,False,False,False,False,1
vid_res_016_packages_on_floor_frame_01,vid_res_016,packages on floor,All prompts | Spatial relation | Multi-instance / ordinal | Complex instruction,True,False,False,True,False,False,True,1
