image_id,decision,left_shift,top_shift,right_shift,bottom_shift,confidence,reason,adjustment_applied,adjustment_gate,pre_x_min,pre_y_min,pre_x_max,pre_y_max,final_x_min,final_y_min,final_x_max,final_y_max
vid_res_001_man_in_lobby_by_door_frame_01,adjust,0.02,0.01,-0.04,-0.02,0.74,"Box includes extra background, mainly to the right and bottom; small inward tweaks will more tightly fit the person by the door.",True,applied,996.5,274.75,1156.5,836.75,999.7,280.37,1150.1,825.51
vid_res_001_man_in_lobby_by_door_frame_02,adjust,0.05,0.02,-0.06,-0.04,0.78,"Box contains the person but leaves extra space on the left, right, and bottom; small tightening improves fit.",True,applied,991.0,269.5,1157.0,826.5,999.3,280.64,1147.04,804.22
vid_res_001_man_in_lobby_by_door_frame_03,adjust,0.02,0.01,-0.02,-0.01,0.78,"Box includes the person but has small extra margins on left, right, and bottom; minor tightening improves fit.",True,applied,1081.5,212.0,1225.5,762.0,1084.38,217.5,1222.62,756.5
vid_res_002_girl_sitting_in_lounge_frame_01,adjust,0.07,0.02,-0.03,-0.03,0.78,Box includes extra space/chair on left and some floor on bottom; slight tighten on all sides keeps the seated person tightly contained.,True,applied,1162.25,296.25,1340.25,601.25,1174.71,302.35,1334.91,592.1
vid_res_002_girl_sitting_in_lounge_frame_02,adjust,0.05,0.02,-0.03,0.0,0.78,Box includes extra chair/table space on left and right; slight tightening keeps the person fully contained while reducing background.,True,applied,1189.75,288.75,1349.75,583.75,1197.75,294.65,1344.95,583.75
vid_res_002_girl_sitting_in_lounge_frame_03,adjust,0.03,0.03,-0.02,-0.04,0.73,"Box includes extra background above, below, and slightly on sides; small trims tighten around the seated person while keeping shoes and head inside.",True,applied,1206.5,281.25,1376.5,585.25,1211.6,290.37,1373.1,573.09
vid_res_004_table_with_flower_on_top_frame_02,adjust,-0.07,0.0,0.08,0.0,0.69,Box clips the tabletop on both left and right; widen slightly to fully include the table. Top and bottom appear acceptable.,False,not_applied,880.0,402.0,1030.0,532.0,880.0,402.0,1030.0,532.0
vid_res_004_table_with_flower_on_top_frame_03,adjust,-0.08,0.03,0.1,-0.03,0.72,Box clips the tabletop/base on both sides and has slight extra margin vertically; small expansion left/right and minor vertical tweaks will tightly contain the table.,True,applied,898.0,393.0,1022.0,524.0,888.08,396.93,1034.4,520.07
vid_res_005_under_the_painting_frame_01,uncertain,0.0,0.0,0.0,0.0,0.42,"The crop does not show the painting’s lower edge, so the top extent of the 'wall under painting' cannot be verified; lateral/bottom limits are also ambiguous. Tight containment can’t be judged reliably.",False,not_applied,1207.0,410.0,1425.0,488.0,1207.0,410.0,1425.0,488.0
vid_res_005_under_the_painting_frame_02,uncertain,0.0,0.0,0.0,0.0,0.32,The crop is too limited and lacks clear context or box edges to judge whether it tightly contains the white wall under the painting.,False,not_applied,1063.0,682.0,1223.0,709.0,1063.0,682.0,1223.0,709.0
