model_name,model_key,image_id,image_path,grounding_prompt,source_command,parsed_action,parsed_target_object,parsed_location_hint,model_grounding_prompt,original_grounding_prompt,target_object,target_type,gt_x_min,gt_y_min,gt_x_max,gt_y_max,ground_truth_source,pred_x_min,pred_y_min,pred_x_max,pred_y_max,confidence,matched_phrase,status,has_valid_prediction_box,iou,target_correct,bbox_quality,notes
OWL ViT,owlvit,vid_res_001_man_in_lobby_by_door_frame_01,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_01.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,966.0,267.0,1185.0,852.0,ground_truth_boxes.csv,986.0,279.0,1184.0,836.0,0.14215849339962,person,success,True,0.8608359676852827,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.053; rank=0.178
OWL ViT,owlvit,vid_res_001_man_in_lobby_by_door_frame_02,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_02.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,966.0,259.0,1173.0,843.0,ground_truth_boxes.csv,979.0,272.0,1171.0,830.0,0.1316651552915573,person,success,True,0.8862418106015485,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.051; rank=0.168
OWL ViT,owlvit,vid_res_001_man_in_lobby_by_door_frame_03,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_03.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,1056.0,196.0,1261.0,764.0,ground_truth_boxes.csv,1080.0,213.0,1250.0,753.0,0.124759241938591,person,success,True,0.788388869804191,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.044; rank=0.161
OWL ViT,owlvit,vid_res_002_girl_sitting_in_lounge_frame_01,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_01.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1152.0,273.0,1328.0,602.0,ground_truth_boxes.csv,1153.0,292.0,1304.0,575.0,0.0943077951669693,person,success,True,0.73799737496546,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.020; rank=0.133
OWL ViT,owlvit,vid_res_002_girl_sitting_in_lounge_frame_02,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_02.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1175.0,268.0,1369.0,600.0,ground_truth_boxes.csv,1176.0,286.0,1337.0,583.0,0.0997318625450134,person,success,True,0.7424077754316234,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.023; rank=0.138
OWL ViT,owlvit,vid_res_002_girl_sitting_in_lounge_frame_03,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_03.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1202.0,268.0,1377.0,595.0,ground_truth_boxes.csv,1198.0,280.0,1352.0,569.0,0.1076852828264236,person,success,True,0.7425360990733286,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.021; rank=0.146
OWL ViT,owlvit,vid_res_004_table_with_flower_on_top_frame_01,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_01.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,896.0,347.0,1029.0,558.0,ground_truth_boxes.csv,1311.0,582.0,1711.0,1018.0,0.1222985908389091,table,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.084; rank=0.156
OWL ViT,owlvit,vid_res_004_table_with_flower_on_top_frame_02,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_02.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,890.0,350.0,1031.0,555.0,ground_truth_boxes.csv,1311.0,582.0,1711.0,1018.0,0.1222985908389091,table,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.084; rank=0.156
OWL ViT,owlvit,vid_res_004_table_with_flower_on_top_frame_03,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_03.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,900.0,346.0,1024.0,549.0,ground_truth_boxes.csv,1336.0,585.0,1775.0,1024.0,0.1267552077770233,table,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.093; rank=0.159
OWL ViT,owlvit,vid_res_005_under_the_painting_frame_01,examples/residence_images/vid_res_005_under_the_painting_frame_01.jpg,wall under painting,find white wall under painting,find,wall,under painting,wall under painting,white wall under painting,wall,object,1218.0,282.0,1405.0,479.0,ground_truth_boxes.csv,99.0,0.0,937.0,708.0,0.0244022160768508,wall,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.02; area=0.286; rank=0.042
OWL ViT,owlvit,vid_res_005_under_the_painting_frame_02,examples/residence_images/vid_res_005_under_the_painting_frame_02.jpg,wall under painting,find white wall under painting,find,wall,under painting,wall under painting,white wall under painting,wall,object,1072.0,483.0,1280.0,713.0,ground_truth_boxes.csv,0.0,95.0,736.0,973.0,0.0283259488642215,wall,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.02; area=0.312; rank=0.043
