model_name,model_key,image_id,image_path,grounding_prompt,source_command,parsed_action,parsed_target_object,parsed_location_hint,model_grounding_prompt,original_grounding_prompt,target_object,target_type,gt_x_min,gt_y_min,gt_x_max,gt_y_max,ground_truth_source,pred_x_min,pred_y_min,pred_x_max,pred_y_max,confidence,matched_phrase,status,has_valid_prediction_box,iou,target_correct,bbox_quality,notes
GPT vision interpretation,gpt_vision,vid_res_001_man_in_lobby_by_door_frame_01,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_01.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,966.0,267.0,1185.0,852.0,ground_truth_boxes.csv,990.0,300.0,1215.0,900.0,0.93,person by door,success,True,0.6923299565846599,True,strict_success,Single person standing next to the door keypad.
GPT vision interpretation,gpt_vision,vid_res_001_man_in_lobby_by_door_frame_02,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_02.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,966.0,259.0,1173.0,843.0,ground_truth_boxes.csv,1000.0,240.0,1260.0,830.0,0.88,person by door,success,True,0.5628500612518161,True,strict_success,Individual standing near the glass door using the wall-mounted reader.
GPT vision interpretation,gpt_vision,vid_res_001_man_in_lobby_by_door_frame_03,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_03.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,1056.0,196.0,1261.0,764.0,ground_truth_boxes.csv,1140.0,250.0,1400.0,900.0,0.87,person by door,success,True,0.27858953799844116,True,success,Man standing next to the glass door on the right side.
GPT vision interpretation,gpt_vision,vid_res_002_girl_sitting_in_lounge_frame_01,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_01.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1152.0,273.0,1328.0,602.0,ground_truth_boxes.csv,1190.0,260.0,1420.0,780.0,0.84,girl sitting in lounge,success,True,0.34368896761593315,True,success,Seated person at the table against the blue wall on the right side of the lounge.
GPT vision interpretation,gpt_vision,vid_res_002_girl_sitting_in_lounge_frame_02,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_02.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1175.0,268.0,1369.0,600.0,ground_truth_boxes.csv,1180.0,270.0,1410.0,740.0,0.86,girl sitting in lounge,success,True,0.5662895640015254,True,strict_success,Seated person at table on right side of room.
GPT vision interpretation,gpt_vision,vid_res_002_girl_sitting_in_lounge_frame_03,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_03.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1202.0,268.0,1377.0,595.0,ground_truth_boxes.csv,1150.0,360.0,1470.0,930.0,0.82,girl sitting in lounge,success,True,0.20717884130982367,False,weak_overlap,Seated person at table near blue wall on the right side.
GPT vision interpretation,gpt_vision,vid_res_004_table_with_flower_on_top_frame_01,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_01.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,896.0,347.0,1029.0,558.0,ground_truth_boxes.csv,860.0,340.0,1130.0,740.0,0.8,table flower on top,success,True,0.25984259259259257,True,success,Back hallway near the window; small round table with a vase of flowers on it. Ignored the foreground table without flowers.
GPT vision interpretation,gpt_vision,vid_res_004_table_with_flower_on_top_frame_02,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_02.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,890.0,350.0,1031.0,555.0,ground_truth_boxes.csv,1040.0,420.0,1200.0,770.0,0.78,table with flower on top,success,True,0.0,False,poor,Small round pedestal table under the window at the end of the hallway.
GPT vision interpretation,gpt_vision,vid_res_004_table_with_flower_on_top_frame_03,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_03.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,900.0,346.0,1024.0,549.0,ground_truth_boxes.csv,880.0,360.0,1130.0,670.0,0.78,table with flower on top,success,True,0.29577464788732394,True,success,Tall round table in the back alcove near the window; small vase of flowers on top.
GPT vision interpretation,gpt_vision,vid_res_005_under_the_painting_frame_01,examples/residence_images/vid_res_005_under_the_painting_frame_01.jpg,wall under painting,find white wall under painting,find,wall,under painting,wall under painting,white wall under painting,wall,object,1218.0,282.0,1405.0,479.0,ground_truth_boxes.csv,1080.0,390.0,1380.0,540.0,0.71,wall under painting,success,True,0.21385028403613118,False,weak_overlap,White wall area directly beneath the nearer framed artwork on the right side of the hallway.
