model_name,model_key,image_id,image_path,grounding_prompt,source_command,parsed_action,parsed_target_object,parsed_location_hint,model_grounding_prompt,original_grounding_prompt,target_object,target_type,gt_x_min,gt_y_min,gt_x_max,gt_y_max,ground_truth_source,pred_x_min,pred_y_min,pred_x_max,pred_y_max,confidence,matched_phrase,status,has_valid_prediction_box,iou,target_correct,bbox_quality,notes
Grounding DINO,grounding_dino,vid_res_001_man_in_lobby_by_door_frame_01,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_01.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,966.0,267.0,1185.0,852.0,ground_truth_boxes.csv,1694.0,372.0,1763.0,509.0,0.1530692875385284,person by door,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.005; rank=0.193
Grounding DINO,grounding_dino,vid_res_001_man_in_lobby_by_door_frame_02,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_02.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,966.0,259.0,1173.0,843.0,ground_truth_boxes.csv,583.0,755.0,1121.0,1034.0,0.1678999364376068,person by door,success,True,0.053001748591412476,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.072; rank=0.202
Grounding DINO,grounding_dino,vid_res_001_man_in_lobby_by_door_frame_03,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_03.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,1056.0,196.0,1261.0,764.0,ground_truth_boxes.csv,671.0,696.0,1191.0,958.0,0.1578685492277145,person by door,success,True,0.03770020533880904,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.065; rank=0.193
Grounding DINO,grounding_dino,vid_res_002_girl_sitting_in_lounge_frame_01,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_01.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1152.0,273.0,1328.0,602.0,ground_truth_boxes.csv,1071.0,651.0,1918.0,1084.0,0.173310175538063,person girl sitting in lounge,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.176; rank=0.199
Grounding DINO,grounding_dino,vid_res_002_girl_sitting_in_lounge_frame_02,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_02.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1175.0,268.0,1369.0,600.0,ground_truth_boxes.csv,1120.0,649.0,1918.0,1084.0,0.1790108680725097,person girl sitting in lounge,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.166; rank=0.206
Grounding DINO,grounding_dino,vid_res_002_girl_sitting_in_lounge_frame_03,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_03.jpg,person girl sitting in lounge,find girl sitting in lounge,find,person,girl sitting in lounge,person girl sitting in lounge,girl sitting in lounge,person,person,1202.0,268.0,1377.0,595.0,ground_truth_boxes.csv,1165.0,654.0,1917.0,1083.0,0.1707801967859268,person girl sitting in lounge,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.154; rank=0.198
Grounding DINO,grounding_dino,vid_res_004_table_with_flower_on_top_frame_01,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_01.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,896.0,347.0,1029.0,558.0,ground_truth_boxes.csv,971.0,598.0,1257.0,703.0,0.2717336416244507,table on top,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.014; rank=0.311
Grounding DINO,grounding_dino,vid_res_004_table_with_flower_on_top_frame_02,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_02.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,890.0,350.0,1031.0,555.0,ground_truth_boxes.csv,971.0,598.0,1257.0,703.0,0.2717336416244507,table on top,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.014; rank=0.311
Grounding DINO,grounding_dino,vid_res_004_table_with_flower_on_top_frame_03,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_03.jpg,table on top,find table flower on top,find,table,on top,table on top,table flower on top,table,object,900.0,346.0,1024.0,549.0,ground_truth_boxes.csv,970.0,594.0,1270.0,709.0,0.2629594504833221,table on top,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.017; rank=0.302
Grounding DINO,grounding_dino,vid_res_005_under_the_painting_frame_01,examples/residence_images/vid_res_005_under_the_painting_frame_01.jpg,wall under painting,find white wall under painting,find,wall,under painting,wall under painting,white wall under painting,wall,object,1218.0,282.0,1405.0,479.0,ground_truth_boxes.csv,1230.0,83.0,1381.0,277.0,0.1811230033636093,wall under painting,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.014; rank=0.220
Grounding DINO,grounding_dino,vid_res_005_under_the_painting_frame_02,examples/residence_images/vid_res_005_under_the_painting_frame_02.jpg,wall under painting,find white wall under painting,find,wall,under painting,wall under painting,white wall under painting,wall,object,1072.0,483.0,1280.0,713.0,ground_truth_boxes.csv,1080.0,249.0,1250.0,469.0,0.176734372973442,wall under painting,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.018; rank=0.215
Grounding DINO,grounding_dino,vid_res_005_under_the_painting_frame_03,examples/residence_images/vid_res_005_under_the_painting_frame_03.jpg,wall under painting,find wall under painting,find,wall,under painting,wall under painting,wall under painting,wall,object,1005.0,544.0,1251.0,826.0,ground_truth_boxes.csv,1020.0,284.0,1215.0,540.0,0.1553867757320404,wall under painting,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.024; rank=0.193
Grounding DINO,grounding_dino,vid_res_006_man_by_the_elevator_green_shirt_frame_01,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_01.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,806.0,138.0,1123.0,1073.0,ground_truth_boxes.csv,843.0,278.0,1104.0,670.0,0.3137819766998291,man by the elevator green shirt,success,True,0.34518800924442045,True,success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.049; rank=0.310
Grounding DINO,grounding_dino,vid_res_006_man_by_the_elevator_green_shirt_frame_02,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_02.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,812.0,130.0,1137.0,1077.0,ground_truth_boxes.csv,832.0,145.0,1115.0,1077.0,0.32313072681427,man by the elevator green shirt,success,True,0.8569766875152303,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.127; rank=0.313
Grounding DINO,grounding_dino,vid_res_006_man_by_the_elevator_green_shirt_frame_03,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_03.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,798.0,132.0,1139.0,1073.0,ground_truth_boxes.csv,843.0,278.0,1104.0,670.0,0.3137819766998291,man by the elevator green shirt,success,True,0.31884717387442696,True,success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.049; rank=0.310
Grounding DINO,grounding_dino,vid_res_007_man_standing_by_table_frame_01,examples/residence_images/vid_res_007_man_standing_by_table_frame_01.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,686.0,186.0,963.0,920.0,ground_truth_boxes.csv,1130.0,480.0,1276.0,577.0,0.2223818898200988,person by table,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.007; rank=0.262
