image_id,candidate_id,label,score,threshold,x_min,y_min,x_max,y_max
vid_res_001_man_in_lobby_by_door_frame_01,1,person,0.14215786755084991,0.05,986.0,279.0,1184.0,836.0
vid_res_001_man_in_lobby_by_door_frame_02,1,person,0.13166479766368866,0.05,979.0,272.0,1171.0,830.0
vid_res_001_man_in_lobby_by_door_frame_03,1,person,0.12475959956645966,0.05,1080.0,213.0,1250.0,753.0
vid_res_002_girl_sitting_in_lounge_frame_01,1,person,0.09430769085884094,0.05,1153.0,292.0,1304.0,575.0
vid_res_002_girl_sitting_in_lounge_frame_02,1,person,0.09973085671663284,0.05,1176.0,286.0,1337.0,583.0
vid_res_002_girl_sitting_in_lounge_frame_03,1,person,0.10768530517816544,0.05,1198.0,280.0,1352.0,569.0
vid_res_002_girl_sitting_in_lounge_frame_03,2,person girl sitting in lounge,0.05018743500113487,0.05,1188.0,291.0,1346.0,582.0
vid_res_004_table_with_flower_on_top_frame_01,1,table,0.12229806184768677,0.05,1311.0,582.0,1711.0,1018.0
vid_res_004_table_with_flower_on_top_frame_02,1,table,0.12229806184768677,0.05,1311.0,582.0,1711.0,1018.0
vid_res_004_table_with_flower_on_top_frame_03,1,table,0.12675529718399048,0.05,1336.0,585.0,1775.0,1024.0
vid_res_005_under_the_painting_frame_01,1,wall,0.03256506100296974,0.02,45.0,7.0,1026.0,1040.0
vid_res_005_under_the_painting_frame_01,2,wall,0.024402426555752754,0.02,99.0,0.0,937.0,708.0
vid_res_005_under_the_painting_frame_02,1,wall,0.028326120227575302,0.02,0.0,95.0,736.0,973.0
vid_res_005_under_the_painting_frame_03,1,wall,0.025033939629793167,0.02,0.0,156.0,609.0,1079.0
vid_res_006_man_by_the_elevator_green_shirt_frame_01,1,person,0.08877212554216385,0.05,825.0,137.0,1141.0,1079.0
vid_res_006_man_by_the_elevator_green_shirt_frame_02,1,person,0.08487874269485474,0.05,820.0,133.0,1144.0,1079.0
vid_res_006_man_by_the_elevator_green_shirt_frame_03,1,person,0.08877212554216385,0.05,825.0,137.0,1141.0,1079.0
vid_res_007_man_standing_by_table_frame_01,1,person,0.1175159215927124,0.05,686.0,200.0,955.0,899.0
vid_res_007_man_standing_by_table_frame_02,1,person,0.10706305503845215,0.05,685.0,192.0,947.0,968.0
vid_res_007_man_standing_by_table_frame_03,1,person,0.1126672700047493,0.05,683.0,195.0,945.0,964.0
vid_res_008_man_standing_by_water_dispenser_frame_01,1,person,0.12187463790178299,0.05,1017.0,279.0,1192.0,679.0
vid_res_008_man_standing_by_water_dispenser_frame_01,2,person by water dispenser,0.06310106068849564,0.05,970.0,366.0,1040.0,466.0
vid_res_008_man_standing_by_water_dispenser_frame_01,3,person near water dispenser,0.050792161375284195,0.05,967.0,467.0,1089.0,601.0
vid_res_008_man_standing_by_water_dispenser_frame_01,4,person near water dispenser,0.05052884295582771,0.05,484.0,293.0,549.0,426.0
