image_id,candidate_id,label,score,threshold,region_x_min,region_y_min,region_x_max,region_y_max,x_min,y_min,x_max,y_max
vid_res_001_man_in_lobby_by_door_frame_01,1,person,0.12361912429332733,0.05,936.5,139.75,1233.5,975.25,996.5,274.75,1156.5,836.75
vid_res_001_man_in_lobby_by_door_frame_02,1,person,0.11977248638868332,0.05,931.0,132.5,1219.0,969.5,991.0,269.5,1157.0,826.5
vid_res_001_man_in_lobby_by_door_frame_03,1,person,0.09061083942651749,0.05,1037.5,78.0,1292.5,888.0,1081.5,212.0,1225.5,762.0
vid_res_002_girl_sitting_in_lounge_frame_01,1,person,0.11217598617076874,0.05,1115.25,221.25,1341.75,645.75,1163.25,295.25,1318.25,586.25
vid_res_002_girl_sitting_in_lounge_frame_01,2,person girl sitting in lounge,0.06843283772468567,0.05,1115.25,221.25,1341.75,645.75,1162.25,296.25,1340.25,601.25
vid_res_002_girl_sitting_in_lounge_frame_02,1,person,0.11866824328899384,0.05,1135.75,211.75,1377.25,657.25,1189.75,288.75,1349.75,583.75
vid_res_002_girl_sitting_in_lounge_frame_03,1,person girl sitting in lounge,0.107654869556427,0.05,1148.5,218.25,1385.5,654.75,1206.5,281.25,1376.5,585.25
vid_res_004_table_with_flower_on_top_frame_02,1,table,0.14595505595207214,0.05,655.0,270.0,1285.0,810.0,880.0,402.0,1030.0,532.0
vid_res_004_table_with_flower_on_top_frame_03,1,table,0.20048925280570984,0.05,700.0,275.0,1180.0,785.0,898.0,393.0,1022.0,524.0
vid_res_004_table_with_flower_on_top_frame_03,2,desk,0.055781181901693344,0.05,700.0,275.0,1180.0,785.0,864.0,393.0,1099.0,533.0
vid_res_005_under_the_painting_frame_01,1,wall under painting,0.005209207069128752,0.005,1020.0,410.0,1620.0,1070.0,1207.0,410.0,1425.0,488.0
vid_res_005_under_the_painting_frame_02,1,wall under painting,0.013749470934271812,0.01,835.0,480.0,1225.0,960.0,1063.0,682.0,1223.0,709.0
vid_res_005_under_the_painting_frame_03,1,wall under painting,0.0117691271007061,0.01,830.0,575.0,1370.0,1079.0,994.0,791.0,1258.0,822.0
vid_res_006_man_by_the_elevator_green_shirt_frame_01,1,person,0.07302746176719666,0.05,746.0,0.0,1220.0,1079.0,827.0,134.0,1109.0,1078.0
vid_res_006_man_by_the_elevator_green_shirt_frame_02,1,person,0.07005579769611359,0.05,739.0,0.0,1225.0,1079.0,829.0,129.0,1116.0,1078.0
vid_res_006_man_by_the_elevator_green_shirt_frame_03,1,person,0.07302746176719666,0.05,746.0,0.0,1220.0,1079.0,827.0,134.0,1109.0,1078.0
vid_res_007_man_standing_by_table_frame_01,1,person,0.09234149754047394,0.05,618.75,25.25,1022.25,1073.75,708.75,193.25,941.75,910.25
vid_res_007_man_standing_by_table_frame_02,1,person,0.09460324048995972,0.05,619.5,0.0,1012.5,1079.0,706.5,192.0,940.5,987.0
vid_res_007_man_standing_by_table_frame_03,1,person,0.09031558036804199,0.05,617.5,2.75,1010.5,1079.0,704.5,192.75,944.5,977.75
vid_res_008_man_standing_by_water_dispenser_frame_01,1,person,0.16192592680454254,0.05,973.25,179.0,1235.75,779.0,1013.25,279.0,1185.25,673.0
vid_res_008_man_standing_by_water_dispenser_frame_01,2,person by water dispenser,0.08277171105146408,0.05,973.25,179.0,1235.75,779.0,973.25,363.0,1039.25,563.0
vid_res_008_man_standing_by_water_dispenser_frame_01,3,person by water dispenser,0.07451790571212769,0.05,973.25,179.0,1235.75,779.0,984.25,367.0,1027.25,476.0
vid_res_008_man_standing_by_water_dispenser_frame_01,4,person near water dispenser,0.0641525536775589,0.05,973.25,179.0,1235.75,779.0,1189.25,298.0,1210.25,362.0
vid_res_008_man_standing_by_water_dispenser_frame_02,1,person,0.13093021512031555,0.05,1057.0,150.25,1315.0,754.75,1092.0,248.25,1269.0,661.25
vid_res_008_man_standing_by_water_dispenser_frame_02,2,person by water dispenser,0.08098984509706497,0.05,1057.0,150.25,1315.0,754.75,1063.0,334.25,1110.0,451.25
vid_res_008_man_standing_by_water_dispenser_frame_02,3,person near water dispenser,0.060286007821559906,0.05,1057.0,150.25,1315.0,754.75,1280.0,271.25,1294.0,322.25
vid_res_008_man_standing_by_water_dispenser_frame_03,1,person,0.13144230842590332,0.05,1074.75,136.0,1334.25,760.0,1100.75,240.0,1282.75,658.0
vid_res_008_man_standing_by_water_dispenser_frame_03,2,person by water dispenser,0.11251520365476608,0.05,1074.75,136.0,1334.25,760.0,1076.75,324.0,1122.75,443.0
vid_res_008_man_standing_by_water_dispenser_frame_03,3,person near water dispenser,0.061538416892290115,0.05,1074.75,136.0,1334.25,760.0,1293.75,262.0,1308.75,315.0
vid_res_009_door_on_the_right_frame_01,1,hallway door,0.12070517241954803,0.05,1178.0,0.0,1490.0,1079.0,1286.0,6.0,1424.0,1023.0
vid_res_009_door_on_the_right_frame_01,2,hallway door,0.07431330531835556,0.05,1178.0,0.0,1490.0,1079.0,1236.0,0.0,1299.0,906.0
vid_res_009_door_on_the_right_frame_02,1,hallway door,0.07700478285551071,0.05,1207.5,0.0,1498.5,1079.0,1234.5,0.0,1299.5,916.0
vid_res_009_door_on_the_right_frame_02,2,door,0.07074487209320068,0.05,1207.5,0.0,1498.5,1079.0,1292.5,8.0,1448.5,1041.0
vid_res_009_door_on_the_right_frame_03,1,door,0.11458295583724976,0.05,1135.75,0.0,1491.25,1079.0,1257.75,4.0,1421.75,1030.0
vid_res_009_door_on_the_right_frame_03,2,hallway door,0.08296426385641098,0.05,1135.75,0.0,1491.25,1079.0,1196.75,0.0,1263.75,909.0
vid_res_010_door_at_end_of_hallway_frame_01,1,hallway door,0.07011743634939194,0.05,597.25,0.0,1147.75,977.0,706.25,38.0,1065.25,784.0
vid_res_010_door_at_end_of_hallway_frame_02,1,hallway door,0.06479352712631226,0.05,575.25,0.0,1137.75,987.75,663.25,3.0,1042.25,787.0
vid_res_010_door_at_end_of_hallway_frame_03,1,hallway door,0.08540637046098709,0.05,517.75,0.0,1095.25,988.75,615.75,0.0,1000.75,786.0
vid_res_011_door_with_sign_frame_01,1,door,0.013725487515330315,0.01,349.0,0.0,589.0,187.5,350.0,0.0,588.0,187.0
vid_res_011_door_with_sign_frame_02,1,door,0.02045857533812523,0.02,342.5,0.0,579.5,188.75,343.5,0.0,579.5,187.0
vid_res_011_door_with_sign_frame_03,1,door,0.022127745673060417,0.02,335.0,0.0,575.0,192.5,336.0,0.0,574.0,190.0
vid_res_012_elevator_call_button_frame_01,1,elevator,0.09223537147045135,0.05,641.75,0.0,1327.25,1079.0,840.75,0.0,1238.75,1073.0
vid_res_012_elevator_call_button_frame_01,2,elevator call button,0.05762782692909241,0.05,641.75,0.0,1327.25,1079.0,1056.75,404.0,1078.75,433.0
vid_res_012_elevator_call_button_frame_02,1,elevator,0.07540318369865417,0.05,675.25,0.0,1345.75,1079.0,855.25,8.0,1242.25,1078.0
vid_res_012_elevator_call_button_frame_02,2,elevator call button,0.05575154349207878,0.05,675.25,0.0,1345.75,1079.0,1056.25,408.0,1080.25,442.0
vid_res_012_elevator_call_button_frame_03,1,elevator call button,0.01721213199198246,0.01,1581.0,130.25,1641.0,212.75,1592.0,144.25,1630.0,199.25
vid_res_012_elevator_call_button_frame_03,2,elevator call button,0.01153335627168417,0.01,1581.0,130.25,1641.0,212.75,1602.0,154.25,1620.0,184.25
vid_res_012_elevator_call_button_frame_03,3,elevator call button,0.010078695602715015,0.01,1581.0,130.25,1641.0,212.75,1608.0,187.25,1614.0,192.25
vid_res_013_plant_on_table_frame_01,1,plant,0.17133410274982452,0.05,640.0,252.5,1282.0,939.5,763.0,362.5,1165.0,826.5
vid_res_013_plant_on_table_frame_01,2,plant,0.13398800790309906,0.05,640.0,252.5,1282.0,939.5,774.0,361.5,1114.0,695.5
vid_res_013_plant_on_table_frame_01,3,plant,0.0770287960767746,0.05,640.0,252.5,1282.0,939.5,984.0,632.5,1172.0,789.5
vid_res_013_plant_on_table_frame_02,1,plant,0.14272646605968475,0.05,670.75,281.0,1212.25,785.0,754.75,363.0,1168.75,784.0
vid_res_013_plant_on_table_frame_02,2,plant,0.07828500866889954,0.05,670.75,281.0,1212.25,785.0,770.75,366.0,1107.75,672.0
vid_res_013_plant_on_table_frame_02,3,plant,0.06611328572034836,0.05,670.75,281.0,1212.25,785.0,977.75,639.0,1170.75,784.0
vid_res_013_plant_on_table_frame_03,1,plant,0.14272646605968475,0.05,670.75,281.0,1212.25,785.0,754.75,363.0,1168.75,784.0
vid_res_013_plant_on_table_frame_03,2,plant,0.07828500866889954,0.05,670.75,281.0,1212.25,785.0,770.75,366.0,1107.75,672.0
vid_res_013_plant_on_table_frame_03,3,plant,0.06611328572034836,0.05,670.75,281.0,1212.25,785.0,977.75,639.0,1170.75,784.0
vid_res_014_package_by_the_chair_frame_01,1,box,0.14980408549308777,0.05,1228.0,469.5,1354.0,568.5,1252.0,480.5,1346.0,552.5
vid_res_014_package_by_the_chair_frame_02,1,box,0.0069195120595395565,0.005,1270.0,515.0,1570.0,785.0,1293.0,515.0,1387.0,543.0
vid_res_014_package_by_the_chair_frame_03,1,box,0.22608967125415802,0.05,1183.0,485.25,1297.0,603.75,1197.0,504.25,1287.0,585.25
vid_res_015_package_on_the_chair_frame_01,1,box,0.11564085632562637,0.05,908.75,332.25,1210.25,498.75,955.75,360.25,1161.75,469.25
vid_res_015_package_on_the_chair_frame_02,1,box,0.14520417153835297,0.05,912.5,311.0,1245.5,479.0,978.5,343.0,1181.5,447.0
vid_res_015_package_on_the_chair_frame_03,1,box,0.15400108695030212,0.05,968.0,312.5,1280.0,501.5,1016.0,348.5,1226.0,467.5
vid_res_016_packages_on_floor_frame_01,1,box,0.0325220562517643,0.02,880.5,696.5,1201.5,861.5,933.5,725.5,1154.5,861.5
vid_res_016_packages_on_floor_frame_02,1,box,0.11319275200366974,0.05,633.0,660.25,1065.0,1030.75,705.0,721.25,987.0,967.25
vid_res_016_packages_on_floor_frame_03,1,box,0.06758376210927963,0.05,647.25,684.75,1113.75,1079.0,742.25,752.75,1030.25,1020.75
vid_res_017_package_not_red_box_frame_01,1,box,0.08208134770393372,0.05,821.25,657.5,1065.75,900.5,869.25,703.5,1020.25,860.5
vid_res_017_package_not_red_box_frame_02,1,box,0.14849968254566193,0.05,871.0,548.0,1075.0,716.0,905.0,578.0,1033.0,688.0
vid_res_017_package_not_red_box_frame_03,1,box,0.16499973833560944,0.05,940.75,423.5,1176.25,618.5,976.75,460.5,1131.75,587.5
vid_res_018_package_hidden_by_chair_frame_01,1,box,0.017406905069947243,0.01,1002.25,582.75,1222.75,788.25,1060.25,617.75,1183.25,744.75
vid_res_018_package_hidden_by_chair_frame_01,2,box,0.016113076359033585,0.01,1002.25,582.75,1222.75,788.25,1071.25,649.75,1174.25,743.75
vid_res_018_package_hidden_by_chair_frame_01,3,box,0.014853110536932945,0.01,1002.25,582.75,1222.75,788.25,1018.25,625.75,1074.25,772.75
vid_res_018_package_hidden_by_chair_frame_01,4,box,0.010202002711594105,0.01,1002.25,582.75,1222.75,788.25,1053.25,617.75,1180.25,675.75
vid_res_018_package_hidden_by_chair_frame_02,1,box,0.027730997651815414,0.02,961.0,556.75,1177.0,750.25,1017.0,587.75,1141.0,713.75
vid_res_018_package_hidden_by_chair_frame_02,2,box,0.020398536697030067,0.02,961.0,556.75,1177.0,750.25,969.0,588.75,1033.0,744.75
vid_res_018_package_hidden_by_chair_frame_03,1,box,0.04631181061267853,0.02,1052.0,531.25,1310.0,757.75,1111.0,563.25,1267.0,717.25
vid_res_018_package_hidden_by_chair_frame_03,2,box,0.027367956936359406,0.02,1052.0,531.25,1310.0,757.75,1052.0,581.25,1126.0,711.25
vid_res_019_package_on_chair_frame_01,1,box,0.11564085632562637,0.05,908.75,332.25,1210.25,498.75,955.75,360.25,1161.75,469.25
vid_res_019_package_on_chair_frame_02,1,box,0.14520417153835297,0.05,912.5,311.0,1245.5,479.0,978.5,343.0,1181.5,447.0
vid_res_019_package_on_chair_frame_03,1,box,0.15400108695030212,0.05,968.0,312.5,1280.0,501.5,1016.0,348.5,1226.0,467.5
vid_res_020_package_on_table_frame_01,1,box,0.18024131655693054,0.05,694.25,17.5,1106.75,230.5,765.25,54.5,1027.25,194.5
vid_res_020_package_on_table_frame_02,1,box,0.18307249248027802,0.05,661.75,40.25,1029.25,236.75,723.75,77.25,964.75,203.25
vid_res_020_package_on_table_frame_03,1,box,0.22523821890354156,0.05,712.5,3.5,1105.5,222.5,785.5,42.5,1034.5,183.5
vid_res_020_package_on_table_frame_03,2,package by table,0.07816705852746964,0.05,712.5,3.5,1105.5,222.5,715.5,128.5,1105.5,212.5
vid_res_021_package_on_chair_frame_02,1,box,0.14754855632781982,0.05,524.25,302.5,804.75,521.5,580.25,341.5,763.25,487.5
vid_res_021_package_on_chair_frame_03,1,box,0.13905346393585205,0.05,505.0,320.0,835.0,560.0,590.0,322.0,740.0,477.0
vid_res_022_package_on_floor_frame_01,1,box,0.13763026893138885,0.05,915.75,853.5,1247.25,1079.0,984.75,892.5,1187.75,1048.5
vid_res_022_package_on_floor_frame_02,1,box,0.1399272382259369,0.05,907.75,806.0,1197.25,998.0,962.75,838.0,1143.75,967.0
vid_res_022_package_on_floor_frame_03,1,box,0.18947267532348633,0.05,878.75,862.0,1216.25,1079.0,943.75,900.0,1152.75,1074.0
vid_res_023_package_infront_of_the_books_frame_01,1,cardboard box,0.05780099704861641,0.05,422.5,449.5,779.5,746.5,563.5,450.5,779.5,597.5
vid_res_023_package_infront_of_the_books_frame_01,2,box,0.05707596614956856,0.05,422.5,449.5,779.5,746.5,457.5,492.5,706.5,688.5
vid_res_023_package_infront_of_the_books_frame_02,1,cardboard box,0.052873674780130386,0.05,382.5,453.5,781.5,762.5,554.5,453.5,779.5,608.5
vid_res_023_package_infront_of_the_books_frame_02,2,box,0.05249303951859474,0.05,382.5,453.5,781.5,762.5,451.5,506.5,707.5,706.5
vid_res_023_package_infront_of_the_books_frame_03,1,box,0.054392583668231964,0.05,375.5,461.5,786.5,770.5,438.5,504.5,704.5,712.5
vid_res_024_package_between_books_and_shoes_frame_01,1,cardboard box,0.1326821744441986,0.05,912.0,375.75,1314.0,791.25,959.0,426.75,1214.0,700.75
vid_res_024_package_between_books_and_shoes_frame_01,2,cardboard box,0.07151686400175095,0.05,912.0,375.75,1314.0,791.25,912.0,375.75,1066.0,639.75
vid_res_024_package_between_books_and_shoes_frame_01,3,cardboard box,0.06624646484851837,0.05,912.0,375.75,1314.0,791.25,963.0,432.75,1203.0,593.75
vid_res_024_package_between_books_and_shoes_frame_01,4,cardboard box,0.0656522661447525,0.05,912.0,375.75,1314.0,791.25,963.0,537.75,1182.0,695.75
vid_res_024_package_between_books_and_shoes_frame_02,1,cardboard box,0.12741045653820038,0.05,905.5,377.75,1316.5,787.25,966.5,429.75,1234.5,714.75
vid_res_024_package_between_books_and_shoes_frame_02,2,cardboard box,0.0702720358967781,0.05,905.5,377.75,1316.5,787.25,905.5,377.75,1072.5,648.75
vid_res_024_package_between_books_and_shoes_frame_03,1,cardboard box,0.12004784494638443,0.05,916.0,359.75,1360.0,793.25,975.0,422.75,1245.0,715.75
vid_res_024_package_between_books_and_shoes_frame_03,2,cardboard box,0.05590846389532089,0.05,916.0,359.75,1360.0,793.25,916.0,360.75,1081.0,656.75
vid_res_025_package_by_elevator_frame_01,1,package by elevator,0.13083921372890472,0.05,437.75,498.5,589.25,633.5,469.75,522.5,561.75,613.5
vid_res_025_package_by_elevator_frame_02,1,package by elevator,0.19165900349617004,0.05,521.75,597.25,667.25,721.75,558.75,617.25,642.75,700.25
vid_res_025_package_by_elevator_frame_03,1,package by elevator,0.13742473721504211,0.05,519.75,590.0,659.25,716.0,550.75,614.0,635.75,695.0
vid_res_026_package_by_wall_frame_01,1,box,0.020618705078959465,0.02,1275.0,455.0,1725.0,845.0,1279.0,508.0,1436.0,630.0
vid_res_026_package_by_wall_frame_02,1,box,0.021763326600193977,0.02,1232.5,475.0,1757.5,985.0,1309.5,614.0,1454.5,722.0
vid_res_026_package_by_wall_frame_03,1,box,0.022301265969872475,0.02,1105.0,480.0,1555.0,960.0,1283.0,615.0,1436.0,722.0
vid_res_027_package_on_table_frame_01,1,desk,0.04467038810253143,0.02,524.25,247.5,1644.75,526.5,743.25,329.5,1459.25,524.5
vid_res_027_package_on_table_frame_01,2,desk,0.025034235790371895,0.02,524.25,247.5,1644.75,526.5,532.25,247.5,1644.25,521.5
vid_res_027_package_on_table_frame_01,3,table,0.022332411259412766,0.02,524.25,247.5,1644.75,526.5,738.25,304.5,1462.25,469.5
