image_id,image_path,status,failure_stage,selection_stage,refinement_source,relational_prompt,initial_candidate_count,refined_candidate_count,selected_label,owl_score,gpt_selection_confidence,relation_match,gpt_edge_decision,gpt_edge_confidence,adjustment_applied,adjustment_gate,pre_adjustment_x_min,pre_adjustment_y_min,pre_adjustment_x_max,pre_adjustment_y_max,pred_x_min,pred_y_min,pred_x_max,pred_y_max,gt_x_min,gt_y_min,gt_x_max,gt_y_max,iou,bbox_quality,notes
vid_res_001_man_in_lobby_by_door_frame_01,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,1,1,person,0.12361912429332733,0.86,True,adjust,0.74,True,applied,996.5,274.75,1156.5,836.75,999.7,280.37,1150.1,825.51,966.0,267.0,1185.0,852.0,0.6399645318659012,strict_success,"Box includes extra background, mainly to the right and bottom; small inward tweaks will more tightly fit the person by the door."
vid_res_001_man_in_lobby_by_door_frame_02,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,1,1,person,0.11977248638868332,0.84,True,adjust,0.78,True,applied,991.0,269.5,1157.0,826.5,999.3,280.64,1147.04,804.22,966.0,259.0,1173.0,843.0,0.639879137714248,strict_success,"Box contains the person but leaves extra space on the left, right, and bottom; small tightening improves fit."
vid_res_001_man_in_lobby_by_door_frame_03,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,1,1,person,0.09061083942651749,0.86,True,adjust,0.78,True,applied,1081.5,212.0,1225.5,762.0,1084.38,217.5,1222.62,756.5,1056.0,196.0,1261.0,764.0,0.6399120577121254,strict_success,"Box includes the person but has small extra margins on left, right, and bottom; minor tightening improves fit."
vid_res_002_girl_sitting_in_lounge_frame_01,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,1,2,person girl sitting in lounge,0.06843283772468567,0.72,False,adjust,0.78,True,applied,1162.25,296.25,1340.25,601.25,1174.71,302.35,1334.91,592.1,1152.0,273.0,1328.0,602.0,0.7414223884859272,strict_success,Box includes extra space/chair on left and some floor on bottom; slight tighten on all sides keeps the seated person tightly contained.
vid_res_002_girl_sitting_in_lounge_frame_02,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,1,1,person,0.11866824328899384,0.82,True,adjust,0.78,True,applied,1189.75,288.75,1349.75,583.75,1197.75,294.65,1344.95,583.75,1175.0,268.0,1369.0,600.0,0.6607179232393494,strict_success,Box includes extra chair/table space on left and right; slight tightening keeps the person fully contained while reducing background.
vid_res_002_girl_sitting_in_lounge_frame_03,examples/residence_images/vid_res_002_girl_sitting_in_lounge_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,2,1,person girl sitting in lounge,0.107654869556427,0.8,True,adjust,0.73,True,applied,1206.5,281.25,1376.5,585.25,1211.6,290.37,1373.1,573.09,1202.0,268.0,1377.0,595.0,0.7978904325032767,strict_success,"Box includes extra background above, below, and slightly on sides; small trims tighten around the seated person while keeping shoes and head inside."
vid_res_004_table_with_flower_on_top_frame_01,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_01.jpg,failed,initial_selection,,,False,1,0,,,0.18,False,,,False,,,,,,,,,,896.0,347.0,1029.0,558.0,0.0,failed,The only detected table (C1) has no flower on top; the table with a flower is in the back and not among candidates.
vid_res_004_table_with_flower_on_top_frame_02,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_coarse_region,False,1,1,table,0.14595505595207214,0.78,True,adjust,0.69,False,not_applied,880.0,402.0,1030.0,532.0,880.0,402.0,1030.0,532.0,890.0,350.0,1031.0,555.0,0.6025492468134415,strict_success,Box clips the tabletop on both left and right; widen slightly to fully include the table. Top and bottom appear acceptable.
vid_res_004_table_with_flower_on_top_frame_03,examples/residence_images/vid_res_004_table_with_flower_on_top_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_coarse_region,False,1,2,table,0.20048925280570984,0.76,True,adjust,0.72,True,applied,898.0,393.0,1022.0,524.0,888.08,396.93,1034.4,520.07,900.0,346.0,1024.0,549.0,0.5468873520419675,strict_success,Box clips the tabletop/base on both sides and has slight extra margin vertically; small expansion left/right and minor vertical tweaks will tightly contain the table.
vid_res_005_under_the_painting_frame_01,examples/residence_images/vid_res_005_under_the_painting_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_coarse_region,True,2,1,wall under painting,0.005209207069128752,0.74,True,uncertain,0.42,False,not_applied,1207.0,410.0,1425.0,488.0,1207.0,410.0,1425.0,488.0,1218.0,282.0,1405.0,479.0,0.3151685393258427,success,"The crop does not show the painting’s lower edge, so the top extent of the 'wall under painting' cannot be verified; lateral/bottom limits are also ambiguous. Tight containment can’t be judged reliably."
